model,MAE,RMSE,MAPE_%,dataset,split
B1: Naive (lag_1),6.452589703588143,8.220912955894445,4.4028275369096415,S12-hw-dataset,validation
B2: Moving Average (24h),13.45230564222569,16.22426468016005,9.237374578950671,S12-hw-dataset,validation
B3: Ridge + lag features,5.123284512855318,6.601583801698112,3.4741616837506784,S12-hw-dataset,validation
R1: GRU,5.4751505851745605,7.014911572856781,3.667393207550049,S12-hw-dataset,validation
B1: Naive (lag_1),6.3498127925117,8.077851104788875,4.151242427649864,S12-hw-dataset,test
B2: Moving Average (24h),13.140067602704107,16.116004884647932,8.73087524566085,S12-hw-dataset,test
B3: Ridge + lag features,5.045398626470042,6.512849942036012,3.2906008278193677,S12-hw-dataset,test
R1: GRU,6.554374694824219,8.263805513647016,4.18963098526001,S12-hw-dataset,test
